,jobtitle,company,city,location,salarytxt,paybase,summary
57,"manager, data science (programmatic)",GroupM,New+York%2CNY,"New York, NY",NaN,NaN,"data and data analytics savvy. at least 3-5 years’ hands-on, proven experience in a digital analyst or data scientist role...."
58,data scientist - neural networks,Geode Executive Search,New+York%2CNY,"New York, NY",130000.0,annual,a well-known tech company in new york is looking to hire a data scientist into a group of scientists that develop search algorithms for image media....
59,data analytics developer,Morgan Stanley,New+York%2CNY,"New York, NY 10032 (Washington Heights area)",NaN,NaN,"a data analytics developer in the space focuses on supporting data scientists and quantitative analysts through a variety of tools, as well as assisting in data..."
60,"manager, data science (programmatic)",GroupM,New+York%2CNY,"New York, NY",NaN,NaN,"data and data analytics savvy. at least 3-5 years’ hands-on, proven experience in a digital analyst or data scientist role...."
61,labs - data scientist - consultant,Oliver Wyman Group,New+York%2CNY,"New York, NY",NaN,NaN,"labs - data scientist - consultant. the data science consultant (dsc) works directly with clients and project teams, providing essential insight and leverage on..."
62,labs - data scientist - consultant,Marsh,New+York%2CNY,"New York, NY",NaN,NaN,"the data science consultant (dsc) works directly with clients and project teams, providing essential insight and leverage on problems where data science..."
63,machine learning software engineer,Capital One,New+York%2CNY,"New York, NY",NaN,NaN,construct data staging layers and fast real-time systems to feed machine learning algorithms. capital one maintains a full stack of technology solutions...
64,"manager, data science",Pfizer Inc.,New+York%2CNY,"New York, NY 10017 (Midtown area)",NaN,NaN,"work across analytical workflow from data acquisition, exploratory data analysis, feature engineering, modeling, and interactive storytelling...."
65,research associate,MDRC,New+York%2CNY,"New York, NY 10016 (Gramercy area)",NaN,NaN,"travel to research sites and collect and analyze quantitative data, to diagnose choice architecture of programs...."
66,senior data scientist,Bluecore,New+York%2CNY,"New York, NY 10002 (Lower East Side area)",NaN,NaN,first-party data is at the core of everything we build and the data science team at bluecore is at the forefront of exploring innovative and exciting ways to...
67,senior associate - cognitive data scientist natural language processing,KPMG,New+York%2CNY,"New York, NY 10154 (Midtown area)",NaN,NaN,"kpmg is currently seeking a senior associate - cognitive data scientist natural language processing, to join our national organization...."
68,"senior scala engineer, sports data",MLB Advanced Media,New+York%2CNY,"New York, NY 10011 (Chelsea area)",NaN,NaN,"work alongside top data scientists on data analysis, machine vision and nlp. through a highly scalable restful api designed to support millions of concurrent..."
69,senior research & data analyst,Innovations for Poverty Action,New+York%2CNY,"New York, NY",NaN,NaN,"data coordination and management:. superior knowledge of programming (stata) and digital data collection platforms (preference for open data kit, survey cto..."
70,associate research scientist,NYU School of Medicine,New+York%2CNY,"New York, NY",NaN,NaN,may develop protocol for the collection and quality of research data. we have an exciting opportunity to join our team as an associate research scientist....
71,senior assessment data analyst,DEPARTMENT OF FINANCE,New+York%2CNY,"Manhattan, NY",75557.5,annual,"experience using relational databases, data mining and extracting data using sql. ensure statistical data analyses and data summary report quality by..."
72,senior data scientist,SiriusXM,New+York%2CNY,"New York, NY 10104 (Midtown area)",NaN,NaN,"and types (web and application traffic data, domain-specific metadata, customer data, transactional data, product data, etc.)...."
73,associate research scientist,NYU Langone Health,New+York%2CNY,"New York, NY",NaN,NaN,"experience in database management and data collection. experience in data management, statistical analyses, and managing longitudinal clinical trials...."
74,senior data science platform engineer,Bloomberg,New+York%2CNY,"New York, NY",NaN,NaN,"interact with data scientists to understand their workflows and requirements. bloomberg runs on data. with petabytes of data, our data science team is at the..."
75,bioinformatics engineer (innovation lab),Memorial Sloan Kettering,New+York%2CNY,"New York, NY",NaN,NaN,"design, develop, integrate, and operate computational pipelines for the analysis of next-generation sequencing data...."
76,"data engineer, software engineering",New York Genome Center,New+York%2CNY,"New York, NY 10013 (Tribeca area)",NaN,NaN,"collaborate with bioinformatics scientists, it, users, and stakeholders to define requirements and specifications for data analysis workflows, accessing and..."
77,"specialist, advanced insights - mckinsey solutions",McKinsey & Company,New+York%2CNY,"New York, NY 10022 (Midtown area)",NaN,NaN,"as one of the fastest-growing parts of our firm, new ventures has more than 1,500 dedicated professionals (including more than 800 analysts and data scientists)..."
78,associate research scientist,Columbia University,New+York%2CNY,"New York, NY",NaN,NaN,lead data analysis in pilot projects with new technologies. lead data analysis in strategic collaborations of the genome center in multidisciplinary team with...
79,client facing python engineers for a.i data consultancy,Birch & James Associates Limited,New+York%2CNY,"New York, NY",90000.0,annual,"an interest in machine learning and/or data science. triage and solve frontline engineering problems and incoming requests, whilst working with our project..."
80,senior data scientist,SparkBeyond,New+York%2CNY,"New York, NY",NaN,NaN,4+ years of relevant experience in data science. deliver business value by translating complex data into meaningful insights....
81,"research scientist, neuroscience",Simons Foundation,New+York%2CNY,"New York, NY 10010 (Gramercy area)",NaN,NaN,"the research scientist will develop algorithms for analyzing high-dimensional data sets of brain activity obtained experimentally, for example, via multi..."
82,technology - gsam tech - data science and machine learning engineer,Goldman Sachs,New+York%2CNY,"New York, NY 10282 (Tribeca area)",NaN,NaN,imd knowledge management team is looking to expand its presence in new york with the addition of a senior data scientist and machine learning engineer....
83,rates quantitative analyst – associate/vp,Citi,New+York%2CNY,"New York, NY",NaN,NaN,"primary location: united states,new york,new york education: master's degree job function: trading schedule: full-time shift: day job employee status: regular"
84,research associate,EcoHealth Alliance,New+York%2CNY,"Manhattan, NY",NaN,NaN,the senior behavioral risk associate will work closely with other staff including scientists with expertise in:....
85,predictive risk analyst,ADMIN FOR CHILDREN'S SVCS,New+York%2CNY,"New York, NY",77035.0,annual,"critical to this position is strong analytical thinking, advanced knowledge of data science and statistics. two years as a city research scientist level i can..."
86,research data scientist,RBC,New+York%2CNY,"New York, NY",NaN,NaN,"familiar with data extract, transform and load processes with a variety of data types. ability to perform complex data analysis on large volumes of data and..."
87,data scientist (intern / full time),RangTech,New+York%2CNY,"Jersey City, NJ",NaN,NaN,"web analytics, data mining techniques application for large data. experience in data visualization and presentation...."
88,quantitative researcher/analyst – statistical arbitrage,Global Trading Systems,New+York%2CNY,"New York, NY",NaN,NaN,we are looking for a quantitative researcher with strong data analysis and modelling skills to join our stat arb trading team in our new york (midtown) office...
89,sr. data analyst,NYU Langone Health,New+York%2CNY,"New York, NY",NaN,NaN,"the ideal candidate will have experience with decision support systems, healthcare data, and data visualization software such as tableau...."
90,senior-inventive scientist (labs- big data research),AT&T,New+York%2CNY,"New York, NY",NaN,NaN,data scientists will usually have a master’s; qualified candidates may be asked to submit a research statement (required for inventive scientist applicants) and...
91,senior data engineer,PulsePoint,New+York%2CNY,"New York, NY",NaN,NaN,"hive - sql data warehouse layer for data in hdfs. increase accessibility and effectiveness of data (work with analysts, data scientists, and developers to build..."
92,sr. data analyst,NYU School of Medicine,New+York%2CNY,"New York, NY",NaN,NaN,we are open to considering advanced and early-career data scientists. cultivate deep familiarity with methodological approaches and data from diverse sources...
93,sr. data analyst,NYU Langone Hospitals,New+York%2CNY,"New York, NY",NaN,NaN,"the ideal candidate will have experience with decision support systems, healthcare data, and data visualization software such as tableau...."
94,associate research scientist,Teachers College Columbia University,New+York%2CNY,"New York, NY",NaN,NaN,"the associate research scientist will also be involved in assisting with data collection (behavioral, mri); the associate research scientist will work with dr...."
95,"director, advanced analytics (data scientist)",NBCUniversal,New+York%2CNY,"New York, NY",NaN,NaN,"collaborate as part of a team of data scientists in the design and execution of advanced analytical data exploration, mining, inference, forecasting and..."
96,senior data scientist,Wade & Wendy,New+York%2CNY,"New York, NY",NaN,NaN,"on the one hand, you’ll use nlp to increase the dynamism and responsiveness of our conversational ai - driving the experience forward in powerful ways to..."
97,senior research analyst,"Business Insider, Inc.",New+York%2CNY,"New York, NY",NaN,NaN,"they will set the research agenda for their team and support them in data and research-related tasks, including creating charts and associated written analysis..."
98,developer / data engineer,Penguin Random House,New+York%2CNY,"New York, NY 10019 (Midtown area)",NaN,NaN,the corporate data science team at penguin random house tackles the company’s most challenging and data intensive analytical problems....
99,analytic team lead,Morgan Stanley,New+York%2CNY,"New York, NY 10032 (Washington Heights area)",NaN,NaN,"a key focus is on tools for data scientists including data preparation, analytic sandboxes, general-purpose analytics, machine learning, and anomaly detection...."
100,database and data warehouse manager,PlaceIQ,New+York%2CNY,"New York, NY",NaN,NaN,"work with data scientists to design and develop databases, and data warehouses as needed. provide enterprise wide data warehouse and database administration..."
101,senior data engineer,Harnham,New+York%2CNY,"New York, NY",175000.0,annual,"senior data engineer. design, implement and maintain high performance data infrastructure and data processing pipelines...."
102,hr assistant,Springer Nature,New+York%2CNY,"New York, NY",NaN,NaN,"adheres to strict confidentiality requirements and protection of sensitive hr data. every day, around the globe, our imprints, books, journals and resources..."
103,data analyst/modeler,DEPARTMENT OF FINANCE,New+York%2CNY,"Brooklyn, NY",75557.5,annual,"strong programming, data analysis, statistical sampling or data mining experience. perform research and data analysis related to modeling, screening and audit..."
104,data engineer,ektello,New+York%2CNY,"New York, NY",72800.0,hourly,experience with integration of data from multiple data sources. coordinate the movement of the aforementioned data from original data sources into cloud...
105,senior research analyst,CONSUMER AFFAIRS,New+York%2CNY,"Manhattan, NY",76143.0,annual,"and assisting with data analysis, management, and reporting on ofe programs. implement ofe’s monitoring and evaluation processes including defining appropriate..."
106,"quantitative software engineer, feature modeling analytics","Two Sigma Investments, LLC.",New+York%2CNY,"New York, NY",NaN,NaN,"a high impact role that works directly with data scientists, engineers, and quantitative analysts; passion for tacking big data challenges...."
107,senior manager data scientist,Capital One,New+York%2CNY,"New York, NY",NaN,NaN,"senior manager data scientist. writing software to clean and investigate large, messy data sets of numerical and textual data...."
108,data scientist/ analyst,GSGSUS,New+York%2CNY,"New York, NY",NaN,NaN,answer complex business questions by using appropriate statistical techniques on available data or designing and running experiments to gather data....
109,data entry specialist i,Mount Sinai Health System,New+York%2CNY,"New York, NY 10029 (Yorkville area)",NaN,NaN,"source documents and enter data in specific data fields accurately. perform data integrity tasks by locating and correcting data entry errors, or...."
110,post doctoral fellow,Mount Sinai Health System,New+York%2CNY,"New York, NY 10029 (Yorkville area)",NaN,NaN,"data input and analysis. collaborative relationships with fellow scientists within the institution,...."
111,financial malware data analysis lead,JP Morgan Chase,New+York%2CNY,"New York, NY 10017 (Midtown area)",NaN,NaN,"malware data analysis, online banking platforms, and complex data sets. data analysis, fraud investigations, and expanding data capture maintain deep knowledge..."
112,data engineer/data scientist,Quovo,New+York%2CNY,"New York, NY",NaN,NaN,"work with the data extraction and data science engineers on normalization and analytics processes. additionally, you will have the opportunity to work with the..."
113,"director, data science",NBCUniversal,New+York%2CNY,"New York, NY",NaN,NaN,"lead and manage a team of data scientists in the design and execution of advanced analytical data exploration, mining, inference, models and systems utilizing..."
114,"environmental analyst, bureau of environmental surveillance and policy",DEPT OF HEALTH/MENTAL HYGIENE,New+York%2CNY,"Manhattan, NY",62693.0,annual,completing data checks and documentation for routine and custom data reports. working with analytics team members to improve data quality and report tracking....
115,market research analyst - analyst development program,Ipsos North America,New+York%2CNY,"New York, NY",NaN,NaN,"love data, consumer decision-making, and puzzles. would you like to work with a team of passionate problem-solvers dedicated to bringing research insights and..."
116,data warehouse / business intelligence developer,NYU Langone Health,New+York%2CNY,"New York, NY",NaN,NaN,data warehousing concepts. strong knowledge of data visualization techniques and dashboard design preferred. we have an exciting opportunity to join our team as...
117,"manager/senior analyst, data analysis and insights",Inspira Marketing Group,New+York%2CNY,"New York, NY",NaN,NaN,"have a background in data, finance or marketing analysis (sql,exe). experienced in scrubbing data and excel manipulation to create compelling reports...."
118,health scientist,Centers for Disease Control and Prevention,New+York%2CNY,"New York, NY",120186.0,annual,analyze scientific investigation data. the centers for disease control and prevention (cdc) is the agency americans trust with their lives....
119,vp digital product manager - big data & analytics platforms,JP Morgan Chase,New+York%2CNY,"New York, NY 10001 (Chelsea area)",NaN,NaN,"working with business and data scientists to understand data and next-generation modeling needs, translating and prioritizing requirements into features and..."
120,"statistician, level i",POLICE DEPARTMENT,New+York%2CNY,"New York, NY",52903.5,annual,"selected candidate will be responsible for processing, analyzing, and extracting information from data and conducting an analysis on issues regarding deployment..."
121,research scientist,NYU School of Medicine,New+York%2CNY,"New York, NY",NaN,NaN,"qualified candidates must demonstrate proficiency in statistical methods for clinical trials, longitudinal and multivariate data, survival data analysis,..."
122,database architect / data science,Corporate Technology,New+York%2CNY,"New York, NY",NaN,NaN,"the data services team at hearst, part of corporate technology, is responsible for a number of big data sources that power products used throughout the..."
123,policy data analyst,DEPARTMENT OF FINANCE,New+York%2CNY,"Manhattan, NY",75557.5,annual,"strong quantitative and research skills, including experience with statistical programming, data analysis, statistical sampling and data mining...."
124,"software engineer, machine learning, usa",Cortical.io,New+York%2CNY,"New York, NY",NaN,NaN,"a permanent position with cortical.io, a leading startup that lives and breathes artificial intelligence (ai) and natural language processing (nlp) and which"
125,staff associate,Columbia University,New+York%2CNY,"New York, NY",NaN,NaN,"other related duties as assigned, including collaborating with project staff to conduct data analysis and write research reports and participating in survey..."
126,data warehouse / business intelligence developer,NYU School of Medicine,New+York%2CNY,"New York, NY",NaN,NaN,data warehousing concepts. strong knowledge of data visualization techniques and dashboard design preferred. we have an exciting opportunity to join our team as...
127,data visualization lead,Morgan Stanley,New+York%2CNY,"New York, NY 10032 (Washington Heights area)",NaN,NaN,"experience handling complex data visualization for big data sets is highly desired. create innovative designs, concepts and user-experiences for interactive..."
128,senior data scientist,Arena,New+York%2CNY,"New York, NY 10013 (Tribeca area)",NaN,NaN,"in addition, the data scientist technical lead will. guide junior data scientists in identification and implementation of appropriate data science techniques..."
129,principal business analysis cons't with big data and hadoop,BNY Mellon,New+York%2CNY,"New York, NY",NaN,NaN,"experience in hands on data mapping and data ware housing concepts and reporting platforms, working with big data, hadoop a plus...."
130,"analytics manager, life sciences industry value team",Accenture,New+York%2CNY,"New York, NY 10011 (Chelsea area)",NaN,NaN,"employees are encouraged and expected to build their expertise as data scientists, and deploy analytics to business problems...."
131,research scientist,"Grammarly, Inc.",New+York%2CNY,"New York, NY",NaN,NaN,"coordinate development of corpora, including data extraction, annotation, and crowdsourced experiments. effective communication is hard...."
132,clinical research associate i,Mount Sinai Health System,New+York%2CNY,"New York, NY 10029 (Yorkville area)",NaN,NaN,identifies and documents data errors or items requiring clarification on all documents collected for study and initiates data clarification/validation process...
133,"research analyst/associate, cij",Vera Institute of Justice,New+York%2CNY,"New York, NY 10279 (Financial District area)",NaN,NaN,"draft data collection instruments; cij researchers perform regular data analysis for the federal government, and conduct evaluation and original research...."
134,"manager, data science & engineering",DigitalOcean,New+York%2CNY,"New York, NY",NaN,NaN,"direct experience with managing, coaching, and mentoring data scientists and/or data engineers. responsible for the overall planning, execution, and success of..."
135,"senior manager, data scientist",Pernod Ricard,New+York%2CNY,"New York, NY",NaN,NaN,"senior manager, data scientist. retrieve, prepare, and process a rich variety of data sources such as social media, crm data, paid media data, sales data and..."
136,machine learning engineer,Pienso,New+York%2CNY,"Brooklyn, NY",NaN,NaN,"you’re a machine learning backend engineer, applied data scientist or software engineer who wants to work on cutting-edge algorithmic and infrastructure issues...."
137,data control assistant,Weill Cornell Medicine,New+York%2CNY,"New York, NY",NaN,NaN,"prepares and analyzes data reports. under direction, performs administrative, data collection and operational activities for clinical research studies this role..."
138,associate ux researcher,Key Lime Interactive,New+York%2CNY,"New York, NY 10011 (Chelsea area)",50000.0,annual,analyzing qualitative & quantitative data. persuasive communication that is grounded in data. objective methods (setting up and analyzing data such as eye...
139,"applied research scientist, computer vision",Spreemo,New+York%2CNY,"New York, NY",NaN,NaN,"about the role as an applied research scientist in computer vision at spreemo, you will work with a growing multidisciplinary team of talented data scientists,..."
140,"research analyst/associate, cij",Vera Institute of Justice,New+York%2CNY,"New York, NY 10279 (Financial District area)",NaN,NaN,"draft data collection instruments; cij researchers perform regular data analysis for the federal government, and conduct evaluation and original research...."
141,health scientist,Centers for Disease Control and Prevention,New+York%2CNY,"New York, NY",120186.0,annual,analyze scientific investigation data. the centers for disease control and prevention (cdc) is the agency americans trust with their lives....
142,researcher,WeWork,New+York%2CNY,"New York, NY 10005 (Financial District area)",NaN,NaN,"experience in data analysis with r, python, matlab/octave, or related languages. demonstrated experience with quantitative research methodologies, with an..."
143,intern - videographer/production,SAP,New+York%2CNY,"New York, NY 10014 (West Village area)",NaN,NaN,"the centers showcase sap leonardo with iot, machine learning, blockchain, big data, analytics, data intelligence and sap cloud platform as key ingredients for..."
144,senior operations research analyst (analytics and fraud risk),TRANSFAST,New+York%2CNY,"New York, NY",NaN,NaN,"experience with data wrangling, modeling and telling a story based on data. building efficient and stable data pipelines to enable us to take full advantage of..."
145,"statistician, level i",POLICE DEPARTMENT,New+York%2CNY,"New York, NY",52903.5,annual,"selected candidate will be responsible for processing, analyzing, and extracting information from data and conducting an analysis on issues regarding deployment..."
146,research assistant i,GUTTMACHER,New+York%2CNY,"New York, NY",40000.0,annual,"research associate, senior/principal research scientist. depending on qualifications and workflow, duties may include assisting with survey fielding,..."
147,sr. manager for data analysis & integration,New York University,New+York%2CNY,"New York, NY",NaN,NaN,"design and application of tools for data extraction, remediation, enhancement, and aggregation; demonstrated experience with xml, xslt, json, javascript, shell..."
